input,language,dialect,originregion
Ua ʻike mai ka lā!,Hawaiian,Lānaʻi,Lānaʻi
He inoa no ka ʻāina kēia!,Hawaiian,Lānaʻi,Lānaʻi
A hui hou kākou e ku'u lei!,Hawaiian,Lānaʻi,Lānaʻi
E aloha ia ka pu'uwai!,Hawaiian,Lānaʻi,Lānaʻi
Mai ka mana'o a ka pu'uwai!,Hawaiian,Lānaʻi,Lānaʻi
Ua maikāi ka mana'o!,Hawaiian,Lānaʻi,Lānaʻi
He lei no ka ʻāina kēia!,Hawaiian,Lānaʻi,Lānaʻi
E hana me ka mana'o!,Hawaiian,Lānaʻi,Lānaʻi
Aia nō ka pu'uwai i ka lā!,Hawaiian,Lānaʻi,Lānaʻi
Auē aʻe ai ka helu!,Hawaiian,Kahoʻolawe,Hawaii
E aloha ka puʻuwai!,Hawaiian,Kahoʻolawe,Hawaii
Mai ka puʻuwai ka manaʻo!,Hawaiian,Kahoʻolawe,Hawaii
Aia ka puʻuwai i ka ʻāina!,Hawaiian,Kahoʻolawe,Hawaii
He inoa ka puʻuwai!,Hawaiian,Kahoʻolawe,Hawaii
Ka puʻuwai ka ʻāina!,Hawaiian,Kahoʻolawe,Hawaii
Mai ka helu ka puʻuwai!,Hawaiian,Kahoʻolawe,Hawaii
Aia ka manaʻo i ka puʻuwai!,Hawaiian,Kahoʻolawe,Hawaii
He manaʻo ka puʻuwai!,Hawaiian,Kahoʻolawe,Hawaii
E aloha ka helu!,Hawaiian,Kahoʻolawe,Hawaii
Auē aʻe ai ka manaʻo!,Hawaiian,Kahoʻolawe,Hawaii
Mai ka ʻāina ka puʻuwai!,Hawaiian,Kahoʻolawe,Hawaii
Aia ka helu i ka manaʻo!,Hawaiian,Kahoʻolawe,Hawaii
He helu ka manaʻo!,Hawaiian,Kahoʻolawe,Hawaii
Ka manaʻo ka helu!,Hawaiian,Kahoʻolawe,Hawaii
Mai ka puʻuwai ka helu!,Hawaiian,Kahoʻolawe,Hawaii
Aia ka ʻāina i ka helu!,Hawaiian,Kahoʻolawe,Hawaii
He ʻāina ka helu!,Hawaiian,Kahoʻolawe,Hawaii
Ka helu ka ʻāina!,Hawaiian,Kahoʻolawe,Hawaii
Mai ka manaʻo ka ʻāina!,Hawaiian,Kahoʻolawe,Hawaii
"Aloha ahiahi, pehea ʻoe?",Hawaiian,Hawaiʻi,Hawaii
Mahalo nui loa no ka heluhelu!,Hawaiian,Hawaiʻi,Hawaii
Ua ʻai mai ʻoe i ka pua?,Hawaiian,Hawaiʻi,Hawaii
A hui hou kakou!,Hawaiian,Hawaiʻi,Hawaii
Pehea ka heluhelu?,Hawaiian,Hawaiʻi,Hawaii
Hele mai ʻoe i ka hale!,Hawaiian,Hawaiʻi,Hawaii
Ua loaʻa ka puʻuwai!,Hawaiian,Hawaiʻi,Hawaii
"Aunty, can you pass da kine grindz?",Hawaiian,Hawaiʻi,Hawaii
"Da kine day, yeah?",Hawaiian,Hawaiʻi,Hawaii
"No worry, brah!",Hawaiian,Hawaiʻi,Hawaii
"Grindz time, yeah?",Hawaiian,Hawaiʻi,Hawaii
"No forget da shaka, brah!",Hawaiian,Hawaiʻi,Hawaii
"Mahalo plenty, Aunty!",Hawaiian,Hawaiʻi,Hawaii
"Da beach, yeah?",Hawaiian,Hawaiʻi,Hawaii
"No stress, yeah?",Hawaiian,Hawaiʻi,Hawaii
Ua mau ke ea o ka ʻāina i ka puʻuwai!,Hawaiian,Hawaiʻi,Hawaii
"Hele on, brah!",Hawaiian,Hawaiʻi,Hawaii
"Aunty, can you make da laulau?",Hawaiian,Hawaiʻi,Hawaii
"Shoots, got da kine!",Hawaiian,Hawaiʻi,Hawaii
"No worry, got it!",Hawaiian,Hawaiʻi,Hawaii
"Braddah, go get da kine grindz!",Hawaiian,Pidgin,Hawaii
"Aunty da kine grinds, yeah?",Hawaiian,Pidgin,Hawaii
"Da kine stuff stay here, brah.",Hawaiian,Pidgin,Hawaii
"Get da kine food, cuz!",Hawaiian,Pidgin,Hawaii
"Da grindz stay ono, yeah?",Hawaiian,Pidgin,Hawaii
"I'm goin' go da beach, brah.",Hawaiian,Pidgin,Hawaii
"Da sun stay shining, cuz!",Hawaiian,Pidgin,Hawaii
"Da trade winds stay blowin', yeah?",Hawaiian,Pidgin,Hawaii
"I'm feelin' da aloha spirit, brah!",Hawaiian,Pidgin,Hawaii
"Da hula girls stay dancing, cuz!",Hawaiian,Pidgin,Hawaii
"Da ukulele music stay sweet, yeah?",Hawaiian,Pidgin,Hawaii
"I'm goin' eat da laulau, brah!",Hawaiian,Pidgin,Hawaii
"Da poke stay fresh, cuz!",Hawaiian,Pidgin,Hawaii
"Da shave ice stay cold, yeah?",Hawaiian,Pidgin,Hawaii
"I'm goin' hike da Manoa Falls, brah!",Hawaiian,Pidgin,Hawaii
"Da rainforest stay lush, cuz!",Hawaiian,Pidgin,Hawaii
"Da waterfalls stay beautiful, yeah?",Hawaiian,Pidgin,Hawaii
"I'm goin' surf da North Shore, brah!",Hawaiian,Pidgin,Hawaii
"Da waves stay big, cuz!",Hawaiian,Pidgin,Hawaii
"Da surfers stay radical, yeah?",Hawaiian,Pidgin,Hawaii
Aunty no like dat kine grindz,Hawaiian,Urban Hawaiian,Oahu
"Braddah stay hungry, lets go eat",Hawaiian,Urban Hawaiian,Maui
Da kine stuff stay hard find,Hawaiian,Urban Hawaiian,Big Island
"I'm so hangry, need food now",Hawaiian,Urban Hawaiian,Oahu
"My tutu stay sick, gotta go hospital",Hawaiian,Urban Hawaiian,Kauai
"Brahdah no care, he just wanna chill",Hawaiian,Urban Hawaiian,Oahu
"I no like dat kine music, too loud",Hawaiian,Urban Hawaiian,Maui
Aunty stay make da best laulau,Hawaiian,Urban Hawaiian,Big Island
"I'm so tired, need sleep now yeah",Hawaiian,Urban Hawaiian,Oahu
"Da beach stay crowded, lets go da kine place",Hawaiian,Urban Hawaiian,Kauai
My braddah stay play da ukulele good,Hawaiian,Urban Hawaiian,Maui
"Da grindz stay ono, I like",Hawaiian,Urban Hawaiian,Oahu
"I no understand, you gotta explain",Hawaiian,Urban Hawaiian,Big Island
Aunty no like da way you talk,Hawaiian,Urban Hawaiian,Kauai
"Brahdah stay lazy, no wanna work",Hawaiian,Urban Hawaiian,Oahu
"Da movie stay boring, I sleep",Hawaiian,Urban Hawaiian,Maui
"I like da beach, stay pretty",Hawaiian,Urban Hawaiian,Oahu
"Da food stay cold, no good",Hawaiian,Urban Hawaiian,Kauai
"Braddah no share, dat no cool",Hawaiian,Urban Hawaiian,Maui
Aunty stay make da best poi,Hawaiian,Urban Hawaiian,Big Island
"מה שלומך היום?‎, עברית, ישראלית, תל אביב.",Hebrew,Modern Israeli,Israel
"היום יום חם מאוד‎, עברית, ישראלית, חיפה.",Hebrew,Modern Israeli,Israel
"איפה היית אתמול?‎, עברית, ישראלית, ירושלים.",Hebrew,Modern Israeli,Israel
"צריך משהו מהחנות?‎, עברית, ישראלית, רמת גן.",Hebrew,Modern Israeli,Israel
"בוא נלך לים‎, עברית, ישראלית, אילת.",Hebrew,Modern Israeli,Israel
"למה אתה מופרע?‎, עברית, ישראלית, נתניה.",Hebrew,Modern Israeli,Israel
"ראית את המשחק אתמול?‎, עברית, ישראלית, תל אבי",Hebrew,Modern Israeli,Israel
"איפה אתה הולך עכשיו?‎, עברית, ישראלית, חיפה.",Hebrew,Modern Israeli,Israel
"אתה מאוחר מאוד‎, עברית, ישראלית, ירושלים",Hebrew,Modern Israeli,Israel
"הבאתי לך מתנה‎, עברית, ישראלית, רמת גן.",Hebrew,Modern Israeli,Israel
"המכונית הגיעה‎, עברית, ישראלית, אילת.",Hebrew,Modern Israeli,Israel
"אני עייף היום‎, עברית, ישראלית, נתניה.",Hebrew,Modern Israeli,Israel
"אראה אותך מאוחר יותר‎, עברית, ישראלית, תל אביב.",Hebrew,Modern Israeli,Israel
"המקום עמוס‎, עברית, ישראלית, חיפה.",Hebrew,Modern Israeli,Israel
"מה אתה עושה אחר כך?‎, עברית, ישראלית, ירושלים.",Hebrew,Modern Israeli,Israel
"תן לי את הטלפון שלך‎, עברית, ישראלית, רמת גן.",Hebrew,Modern Israeli,Israel
"המכונית מוכנה‎, עברית, ישראלית, אילת.",Hebrew,Modern Israeli,Israel
"אני רוצה קפה‎, עברית, ישראלית, נתניה.",Hebrew,Modern Israeli,Israel
"בוא נשחק כדורגל‎, עברית, ישראלית, תל אביב.",Hebrew,Modern Israeli,Israel
"מה דעתך על הסרט?‎, עברית, ישראלית, חיפה.",Hebrew,Modern Israeli,Israel
"איך הולך היום?‎, עברית, ספרדית, ירושלים.",Hebrew,Sephardic,"Greece, Turkey"
"היום יום חם מאוד‎, עברית, ספרדית, חיפה.",Hebrew,Sephardic,"Greece, Turkey"
"איפה היית אתמול?‎, עברית, ספרדית, טבריה.",Hebrew,Sephardic,"Greece, Turkey"
"צריך משהו מהחנות?‎, עברית, ספרדית, פתח תקווה.",Hebrew,Sephardic,"Greece, Turkey"
"בוא נלך לים‎, עברית, ספרדית, עכו.",Hebrew,Sephardic,"Greece, Turkey"
"למה אתה מופרע?‎, עברית, ספרדית, יפו.",Hebrew,Sephardic,"Greece, Turkey"
"ראית את המשחק אתמול?‎, עברית, ספרדית, ירושלים.",Hebrew,Sephardic,"Greece, Turkey"
"איפה אתה הולך עכשיו?‎, עברית, ספרדית, חיפה.",Hebrew,Sephardic,"Greece, Turkey"
"אתה מאוחר מאוד‎, עברית, ספרדית, טבריה.",Hebrew,Sephardic,"Greece, Turkey"
"הבאתי לך מתנה‎, עברית, ספרדית, פתח תקווה.",Hebrew,Sephardic,"Greece, Turkey"
"המכונית הגיעה‎, עברית, ספרדית, עכו.",Hebrew,Sephardic,"Greece, Turkey"
"אני עייף היום‎, עברית, ספרדית, יפו.",Hebrew,Sephardic,"Greece, Turkey"
"אראה אותך מאוחר יותר‎, עברית, ספרדית, ירושלים.",Hebrew,Sephardic,"Greece, Turkey"
"המקום עמוס‎, עברית, ספרדית, חיפה.",Hebrew,Sephardic,"Greece, Turkey"
"מה אתה עושה אחר כך?‎, עברית, ספרדית, טבריה.",Hebrew,Sephardic,"Greece, Turkey"
"תן לי את הטלפון שלך‎, עברית, ספרדית, פתח תקווה.",Hebrew,Sephardic,"Greece, Turkey"
"המכונית מוכנה‎, עברית, ספרדית, עכו.",Hebrew,Sephardic,"Greece, Turkey"
"אני רוצה קפה‎, עברית, ספרדית, יפו.",Hebrew,Sephardic,"Greece, Turkey"
"בוא נשחק כדורגל‎, עברית, ספרדית, ירושלים.",Hebrew,Sephardic,"Greece, Turkey"
"וייַזאָה גייט עס?‎, עברית, אשכנזית, ברלין.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"היינט איז עס שוויינדליך הייס‎, עברית, אשכנזית, ווארשע.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"וואו ביסטו געווען געזען געסטער טאָג?‎, עברית, אשכנזית, קראקאו.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"דאָס טוט נישט מאָכן נישטס דו?‎, עברית, אשכנזית, ווילנע.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"קומען און גיין צו די קוואַרטיר‎, עברית, אשכנזית, פראנקפורט.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"ווי גייט איר דעם טאָג?‎, עברית, אשכנזית, ברלין.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"וואו גייט איר לאָזען?‎, עברית, אשכנזית, פראנקפורט.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"איז דאָס אַ נייַער שטאָל?‎, עברית, אשכנזית, מינכן.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"פאַרוואָס קומט דער רעגען נישט אופ?‎, עברית, אשכנזית, קראקאו.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"דו זאָלסט נישט געהן שלעפן נאַר ווייסט?‎, עברית, אשכנזית, ווילנע.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"וואו גייט דאָס זיין?‎, עברית, אשכנזית, ברלין.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"וואו זייט איר געווען אויף דעם פרייטאָג?‎, עברית, אשכנזית, קראקאו.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"קאָנטראַסט איר די מאַל?‎, עברית, אשכנזית, פראנקפורט.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"ווי גייט איר לויב די שטאַדט?‎, עברית, אשכנזית, ברלין.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"קומען און גיין צו די שול‎, עברית, אשכנזית, ווילנע.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"דאָס איז אַזוי אַ בלעטער אַ די אנדערען?‎, עברית, אשכנזית, ברלין.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"די צילינדער קומען‎, עברית, אשכנזית, פראנקפורט.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
"וווּס איז דאָס נאָך אַזוי פירן?‎, עברית, אשכנזית, קראקאו.",Hebrew,Ashkenazi,"Central Europe, Eastern Europe"
מה תעשה היום?‎,Hebrew,Yemenite,Yemen
איך אתה מרגיש הבוקר?‎,Hebrew,Yemenite,Yemen
תבוא לפגישה מאוחר יותר.‎,Hebrew,Yemenite,Yemen
היה לי יום מעייפה.‎,Hebrew,Yemenite,Yemen
אני אוהב לקרוא ספרים.‎,Hebrew,Yemenite,Yemen
האוכל היום היה מצוין.‎,Hebrew,Yemenite,Yemen
אני מתגעגע לבית.‎,Hebrew,Yemenite,Yemen
יש לך תכניות לסוף השבוע?‎,Hebrew,Yemenite,Yemen
אני מחפש עבודה חדשה.‎,Hebrew,Yemenite,Yemen
אתה מדבר עברית טוב מאוד.‎,Hebrew,Yemenite,Yemen
"המזגן תקוע, אני צמא.‎",Hebrew,Yemenite,Yemen
אני רוצה ללמוד לבשל.‎,Hebrew,Yemenite,Yemen
הילדים רוצים לשחק בחוץ.‎,Hebrew,Yemenite,Yemen
נפגש בקפה בשעה שש.‎,Hebrew,Yemenite,Yemen
השמש זורחת יפה הבוקר.‎,Hebrew,Yemenite,Yemen
אני רוצה לקנות ספר חדש.‎,Hebrew,Yemenite,Yemen
אתה יכול לעזור לי עם משהו?‎,Hebrew,Yemenite,Yemen
כמה עולה הכרטיס לקולנוע?‎,Hebrew,Yemenite,Yemen
התעוררתי מוקדם מאוד הבוקר.‎,Hebrew,Yemenite,Yemen
"תראה, הגיע האוטובוס",Hebrew,Yemenite,Yemen
מה קורה? ברוך הבא.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
נפגש בבית קפה בצהריים.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
כמה עולה המנה הזו?,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
אני אוהב את האווירה פה.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
הילדים רוצים לשחק בחוץ.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
תוכל לעזור לי עם משהו?,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
התנצלותי על האיחור.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
השמש זורחת יפה הבוקר.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
איך עברה המבחן?,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
"אני צמא מאוד, תרקד שתייה?",Hebrew,Mizrahi,"Iraq, Iran, Yemen"
כמה זמן עוד ייקח לנו להגיע?,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
אני מצפה למפגש זה מאוד.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
הגענו ליעד בהצלחה.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
"תגיד, האם זה המסעדה הטובה ביותר בעיר?",Hebrew,Mizrahi,"Iraq, Iran, Yemen"
המחירים כאן די גבוהים.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
אני צריך להשתמש בשירותים.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
זה הזמן לעזוב.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
יש לי הרגשה טובה בנוגע לערב הזה.,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
איך אתה מרגיש היום?,Hebrew,Mizrahi,"Iraq, Iran, Yemen"
"תגיד, האם יש חניון חינם פה בקרבת מקום",Hebrew,Mizrahi,"Iraq, Iran, Yemen"
מה הוא מצבך היום,Hebrew,Samaritan,Isreal
האם יש לך תכניות לערב הזה,Hebrew,Samaritan,Isreal
האם אתה מרגיש טוב,Hebrew,Samaritan,Isreal
האם אתה רוצה לצאת לטיול,Hebrew,Samaritan,Isreal
תודה רבה על העזרה,Hebrew,Samaritan,Isreal
הילדים שלי אוהבים לשחק בחוץ,Hebrew,Samaritan,Isreal
אני מתגעגע אלייך,Hebrew,Samaritan,Isreal
האם יש לך רעיונות לחתונה,Hebrew,Samaritan,Isreal
אני רוצה ללמוד לרקוד,Hebrew,Samaritan,Isreal
האם אתה מכיר טיילת יפה באזור,Hebrew,Samaritan,Isreal
"נתקלתי בבעיה, האם תוכל לעזור לי",Hebrew,Samaritan,Isreal
האם אתה רוצה להצטרף אלינו,Hebrew,Samaritan,Isreal
האם תוכל להמליץ על מסעדה טובה בסביבה,Hebrew,Samaritan,Isreal
אני חושב שאני צריך לקנות מתנה לאחת מחברותי,Hebrew,Samaritan,Isreal
"האם אתה מתכנן טיול לחו""ל",Hebrew,Samaritan,Isreal
אני אוהב את המזג האוויר הזה,Hebrew,Samaritan,Isreal
האם תוכל לשלוח לי את מספר הטלפון שלך,Hebrew,Samaritan,Isreal
האם תוכל להמליץ על ספר טוב לקריאה,Hebrew,Samaritan,Isreal
האם אתה רוצה ללכת לקולנוע היום בערב,Hebrew,Samaritan,Isreal
תודה על הערב הנפלא,Hebrew,Samaritan,Isreal
מה איתך? כיף לראותך,Hebrew,Galilean,Isreal
איזו צריך לנו לסדר,Hebrew,Galilean,Isreal
אני רוצה ללכת לים,Hebrew,Galilean,Isreal
איך מגיעים לתחנה,Hebrew,Galilean,Isreal
תרקד אית,Hebrew,Galilean,Isreal
צריך לקנות ירקות,Hebrew,Galilean,Isreal
יש תפוחים בסל,Hebrew,Galilean,Isreal
אני אוהב ללכת ביער,Hebrew,Galilean,Isreal
"תגיד, האם אתה רוצה לבקר באבא ואמא",Hebrew,Galilean,Isreal
איפה הסופגניה הכי טובה,Hebrew,Galilean,Isreal
איך עברה השבוע בשבילך,Hebrew,Galilean,Isreal
האם תקרא עברית,Hebrew,Galilean,Isreal
אני רוצה ללמוד לרקוד ערבי,Hebrew,Galilean,Isreal
כמה עולה התפוח הזה,Hebrew,Galilean,Isreal
האם אתה יכול להוביל אותי למרכז העיר,Hebrew,Galilean,Isreal
אני רוצה לבקש מחזור,Hebrew,Galilean,Isreal
אתה מכיר טיילת יפה פה בסביבה,Hebrew,Galilean,Isreal
האם אתה מכיר מדורה למכירה,Hebrew,Galilean,Isreal
אני רוצה להזמין מסעדה,Hebrew,Galilean,Isreal
הילדים רוצים ללכת לפארק,Hebrew,Galilean,Isreal
מה נשמע? איך מרגיש היום,Hebrew,Judean,Israel
נפגש בקפה בצהריים,Hebrew,Judean,Israel
אני צריך ללכת לבנק,Hebrew,Judean,Israel
האם יש חניון חינם פה,Hebrew,Judean,Israel
יש לי הרגשה טובה על היום,Hebrew,Judean,Israel
האם תוכל לעזור לי עם משהו,Hebrew,Judean,Israel
השמש זורחת באופן יפה הבוקר,Hebrew,Judean,Israel
האם אתה רוצה ללכת לבית קפה אחר,Hebrew,Judean,Israel
איפה היכולת הכי קרובה,Hebrew,Judean,Israel
תודה על העזרה,Hebrew,Judean,Israel
אני רוצה ללמוד עוד עברית,Hebrew,Judean,Israel
האם אתה רוצה לבוא לארוחת ערב איתנו,Hebrew,Judean,Israel
הילדים רוצים לשחק בחוץ,Hebrew,Judean,Israel
נצטרך להתקדם קצת מהר יותר,Hebrew,Judean,Israel
איפה הכולנית הקרובה ביותר,Hebrew,Judean,Israel
אני מרגיש אופטימי לגבי העתיד,Hebrew,Judean,Israel
האם יש רכבת או אוטובוס למרכז העיר,Hebrew,Judean,Israel
אני רוצה לרכוש משהו מיוחד לאמא שלי,Hebrew,Judean,Israel
האם תוכל להמליץ על ספר טוב לקריאה,Hebrew,Judean,Israel
ש כאן אווירה מהנה,Hebrew,Judean,Israel
אני אוהב לקרוא ספרים בגן הציבורי.,Hebrew,Tiberian,Israel
השמש זורחת מאחורי ההרים.,Hebrew,Tiberian,Israel
אני רוצה ללמוד לשחק בכדורגל.,Hebrew,Tiberian,Israel
הכלבים משחקים יחד בחצר.,Hebrew,Tiberian,Israel
יש ירח מלא הלילה.,Hebrew,Tiberian,Israel
הציפורים מנגנות בבוקר.,Hebrew,Tiberian,Israel
הילדים רצים בחוף הים.,Hebrew,Tiberian,Israel
הפרחים פורחים בגן.,Hebrew,Tiberian,Israel
החתולים מתרפקים על הספה.,Hebrew,Tiberian,Israel
השעה תשע בבוקר.,Hebrew,Tiberian,Israel
הקיץ הוא עונת החום.,Hebrew,Tiberian,Israel
החברים נפגשים בקפה לשוחח.,Hebrew,Tiberian,Israel
המלך יושב על כסאו הגבוה.,Hebrew,Tiberian,Israel
הים תמיד מרהיב בצהריים.,Hebrew,Tiberian,Israel
הבית גדול ומרשים.,Hebrew,Tiberian,Israel
האוטובוס מגיע בשעה שמונה.,Hebrew,Tiberian,Israel
הפיל חזק מאוד.,Hebrew,Tiberian,Israel
החלב נשפך על השולחן.,Hebrew,Tiberian,Israel
הענן מתפשט בשמיים.,Hebrew,Tiberian,Israel
החלון פתוח והרוח נכנסת לחדר,Hebrew,Tiberian,Israel
אני אכפת לך.,Hebrew,Babylonian,Israel
החמין נותן חום טוב במקום המגורים.,Hebrew,Babylonian,Israel
החלב שותה מחיל לכולם.,Hebrew,Babylonian,Israel
יש לי חברה טובה בעבודה.,Hebrew,Babylonian,Israel
השמש זורקת אור על פני האדמה.,Hebrew,Babylonian,Israel
המכונית נוסעת במהירות.,Hebrew,Babylonian,Israel
הילדים משחקים בחצר.,Hebrew,Babylonian,Israel
אני רואה את העולם מן הזכות.,Hebrew,Babylonian,Israel
הכלבים שובקים בלילה.,Hebrew,Babylonian,Israel
הקופסא נפלה מהשולחן.,Hebrew,Babylonian,Israel
אני אוהב לקרוא ספרים בספרייה.,Hebrew,Babylonian,Israel
הים מתנגש בחוף.,Hebrew,Babylonian,Israel
העץ גדל ביער.,Hebrew,Babylonian,Israel
החתולים מתרפקים על החומה.,Hebrew,Babylonian,Israel
הקופסה נמצאת מתחת לשולחן.,Hebrew,Babylonian,Israel
השעון מציין שעה חמישים.,Hebrew,Babylonian,Israel
האוטובוס עוצר בתחנה.,Hebrew,Babylonian,Israel
המלחמה פורצת במדינה.,Hebrew,Babylonian,Israel
האור מתפזר בכל החדר.,Hebrew,Babylonian,Israel
הפיל נושף במים,Hebrew,Babylonian,Israel
"नमस्ते, आप कैसे हैं?",Hindi,Khari Boli,Northern India
मेरा नाम राज है।,Hindi,Khari Boli,Northern India
यह क्या है?,Hindi,Khari Boli,Northern India
मुझे पानी चाहिए।,Hindi,Khari Boli,Northern India
आप कहाँ रहते हैं,Hindi,Khari Boli,Northern India
स्कूल कब खुलता है,Hindi,Khari Boli,Northern India
मैं ठीक हूँ।,Hindi,Khari Boli,Northern India
कृपया दरवाजा बंद कर दें।,Hindi,Khari Boli,Northern India
आज मौसम अच्छा है।,Hindi,Khari Boli,Northern India
आपने खाना खाया?,Hindi,Khari Boli,Northern India
मुझे आपकी मदद चाहिए।,Hindi,Khari Boli,Northern India
यह कितने का है,Hindi,Khari Boli,Northern India
यहाँ कितने लोग हैं,Hindi,Khari Boli,Northern India
मुझे हिंदी आती है।,Hindi,Khari Boli,Northern India
आप क्या कर रहे हैं?,Hindi,Khari Boli,Northern India
यह बहुत अच्छा है।,Hindi,Khari Boli,Northern India
आज कौन सा दिन है,Hindi,Khari Boli,Northern India
मुझे डॉक्टर के पास जाना है।,Hindi,Khari Boli,Northern India
कृपया मुझे माफ़ करें।,Hindi,Khari Boli,Northern India
आपसे मिलकर खुशी हुई।,Hindi,Khari Boli,Northern India
तौहार नाम का है,Hindi,Braj Bhasha,"Mathura, India"
तुम कहाँ जात हौ,Hindi,Braj Bhasha,"Mathura, India"
मोय पाणी पियाव।,Hindi,Braj Bhasha,"Mathura, India"
"अरे, कैसे आ गयौ?",Hindi,Braj Bhasha,"Mathura, India"
किते करौ हौ?,Hindi,Braj Bhasha,"Mathura, India"
घरे कब आवोगे?,Hindi,Braj Bhasha,"Mathura, India"
भुख लागी है।,Hindi,Braj Bhasha,"Mathura, India"
इतै बइठौ।,Hindi,Braj Bhasha,"Mathura, India"
कैसौ होवे लगौ?,Hindi,Braj Bhasha,"Mathura, India"
हम घर चलौ।,Hindi,Braj Bhasha,"Mathura, India"
तुमारौ काम का है?,Hindi,Braj Bhasha,"Mathura, India"
इतौ कौन है?,Hindi,Braj Bhasha,"Mathura, India"
खाय कौ की होयौ?,Hindi,Braj Bhasha,"Mathura, India"
आजु बजार चलौ।,Hindi,Braj Bhasha,"Mathura, India"
इतै आय जइयो।,Hindi,Braj Bhasha,"Mathura, India"
सहर क्यौं जा रहे हो?,Hindi,Braj Bhasha,"Mathura, India"
घर कौ हाल कैसौ है,Hindi,Braj Bhasha,"Mathura, India"
तुम्हारौ तबियत क्यौं है?,Hindi,Braj Bhasha,"Mathura, India"
अबै क्यौं करौ?,Hindi,Braj Bhasha,"Mathura, India"
इतौ कौन आयो है?,Hindi,Braj Bhasha,"Mathura, India"
आप कैसे हैं,Hindi,Awadhi,"Uttar Pradesh, India"
हम घर जा रहे हैं।,Hindi,Awadhi,"Uttar Pradesh, India"
खाना बन रहा है।,Hindi,Awadhi,"Uttar Pradesh, India"
कृपया मुझे माफ़ करें।,Hindi,Awadhi,"Uttar Pradesh, India"
वहाँ क्या हो रहा है,Hindi,Awadhi,"Uttar Pradesh, India"
मुझे भूख लगी है।,Hindi,Awadhi,"Uttar Pradesh, India"
आपका नाम क्या है?,Hindi,Awadhi,"Uttar Pradesh, India"
हम यहाँ से जा रहे हैं।,Hindi,Awadhi,"Uttar Pradesh, India"
कहाँ जा रहे हो?,Hindi,Awadhi,"Uttar Pradesh, India"
आज मौसम बहुत अच्छा है।,Hindi,Awadhi,"Uttar Pradesh, India"
आप क्या कर रहे हैं?,Hindi,Awadhi,"Uttar Pradesh, India"
यह कितना है?,Hindi,Awadhi,"Uttar Pradesh, India"
मेरे पास समय नहीं है।,Hindi,Awadhi,"Uttar Pradesh, India"
ध्यान से सुनो।,Hindi,Awadhi,"Uttar Pradesh, India"
क्या तुम्हें याद है?,Hindi,Awadhi,"Uttar Pradesh, India"
मैं ठीक हूँ।,Hindi,Awadhi,"Uttar Pradesh, India"
बहुत धन्यवाद।,Hindi,Awadhi,"Uttar Pradesh, India"
अच्छा लगा।,Hindi,Awadhi,"Uttar Pradesh, India"
कृपया ध्यान दें।,Hindi,Awadhi,"Uttar Pradesh, India"
यहाँ कौन है?,Hindi,Awadhi,"Uttar Pradesh, India"
आप कैसे हैं,Hindi,Bhojpuri,"Bihar, India"
हम घर जा रहे हैं।,Hindi,Bhojpuri,"Bihar, India"
खाना बन रहा है।,Hindi,Bhojpuri,"Bihar, India"
कृपया मुझे माफ़ करें।,Hindi,Bhojpuri,"Bihar, India"
वहाँ क्या हो रहा है?,Hindi,Bhojpuri,"Bihar, India"
मुझे भूख लगी है।,Hindi,Bhojpuri,"Bihar, India"
आपका नाम क्या है?,Hindi,Bhojpuri,"Bihar, India"
हम यहाँ से जा रहे हैं।,Hindi,Bhojpuri,"Bihar, India"
